title,timestamp,search_count,date_collected
Air conditioner,2019-12-08 00:00:00,31,2024-02-10 14:50:20.516777
Air conditioner,2019-12-15 00:00:00,27,2024-02-10 14:50:20.516778
Air conditioner,2019-12-22 00:00:00,39,2024-02-10 14:50:20.516779
Air conditioner,2019-12-29 00:00:00,30,2024-02-10 14:50:20.516779
Air conditioner,2020-01-05 00:00:00,32,2024-02-10 14:50:20.516780
Air conditioner,2020-01-12 00:00:00,26,2024-02-10 14:50:20.516780
Air conditioner,2020-01-19 00:00:00,36,2024-02-10 14:50:20.516781
Air conditioner,2020-01-26 00:00:00,32,2024-02-10 14:50:20.516782
Air conditioner,2020-02-02 00:00:00,37,2024-02-10 14:50:20.516782
Air conditioner,2020-02-09 00:00:00,21,2024-02-10 14:50:20.516783
Air conditioner,2020-02-16 00:00:00,35,2024-02-10 14:50:20.516783
Air conditioner,2020-02-23 00:00:00,33,2024-02-10 14:50:20.516784
Air conditioner,2020-03-01 00:00:00,54,2024-02-10 14:50:20.516785
Air conditioner,2020-03-08 00:00:00,28,2024-02-10 14:50:20.516785
Air conditioner,2020-03-15 00:00:00,41,2024-02-10 14:50:20.516786
Air conditioner,2020-03-22 00:00:00,41,2024-02-10 14:50:20.516786
Air conditioner,2020-03-29 00:00:00,42,2024-02-10 14:50:20.516787
Air conditioner,2020-04-05 00:00:00,46,2024-02-10 14:50:20.516787
Air conditioner,2020-04-12 00:00:00,42,2024-02-10 14:50:20.516788
Air conditioner,2020-04-19 00:00:00,49,2024-02-10 14:50:20.516789
Air conditioner,2020-04-26 00:00:00,42,2024-02-10 14:50:20.516789
Air conditioner,2020-05-03 00:00:00,52,2024-02-10 14:50:20.516790
Air conditioner,2020-05-10 00:00:00,73,2024-02-10 14:50:20.516791
Air conditioner,2020-05-17 00:00:00,74,2024-02-10 14:50:20.516791
Air conditioner,2020-05-24 00:00:00,58,2024-02-10 14:50:20.516792
Air conditioner,2020-05-31 00:00:00,59,2024-02-10 14:50:20.516792
Air conditioner,2020-06-07 00:00:00,42,2024-02-10 14:50:20.516793
Air conditioner,2020-06-14 00:00:00,47,2024-02-10 14:50:20.516793
Air conditioner,2020-06-21 00:00:00,35,2024-02-10 14:50:20.516794
Air conditioner,2020-06-28 00:00:00,60,2024-02-10 14:50:20.516795
Air conditioner,2020-07-05 00:00:00,56,2024-02-10 14:50:20.516795
Air conditioner,2020-07-12 00:00:00,45,2024-02-10 14:50:20.516796
Air conditioner,2020-07-19 00:00:00,45,2024-02-10 14:50:20.516796
Air conditioner,2020-07-26 00:00:00,38,2024-02-10 14:50:20.516797
Air conditioner,2020-08-02 00:00:00,57,2024-02-10 14:50:20.516798
Air conditioner,2020-08-09 00:00:00,62,2024-02-10 14:50:20.516798
Air conditioner,2020-08-16 00:00:00,41,2024-02-10 14:50:20.516799
Air conditioner,2020-08-23 00:00:00,33,2024-02-10 14:50:20.516800
Air conditioner,2020-08-30 00:00:00,38,2024-02-10 14:50:20.516800
Air conditioner,2020-09-06 00:00:00,33,2024-02-10 14:50:20.516801
Air conditioner,2020-09-13 00:00:00,31,2024-02-10 14:50:20.516801
Air conditioner,2020-09-20 00:00:00,36,2024-02-10 14:50:20.516802
Air conditioner,2020-09-27 00:00:00,44,2024-02-10 14:50:20.516803
Air conditioner,2020-10-04 00:00:00,44,2024-02-10 14:50:20.516803
Air conditioner,2020-10-11 00:00:00,37,2024-02-10 14:50:20.516804
Air conditioner,2020-10-18 00:00:00,32,2024-02-10 14:50:20.516804
Air conditioner,2020-10-25 00:00:00,44,2024-02-10 14:50:20.516805
Air conditioner,2020-11-01 00:00:00,33,2024-02-10 14:50:20.516806
Air conditioner,2020-11-08 00:00:00,29,2024-02-10 14:50:20.516806
Air conditioner,2020-11-15 00:00:00,30,2024-02-10 14:50:20.516807
Air conditioner,2020-11-22 00:00:00,29,2024-02-10 14:50:20.516807
Air conditioner,2020-11-29 00:00:00,44,2024-02-10 14:50:20.516808
Air conditioner,2020-12-06 00:00:00,37,2024-02-10 14:50:20.516809
Air conditioner,2020-12-13 00:00:00,21,2024-02-10 14:50:20.516809
Air conditioner,2020-12-20 00:00:00,33,2024-02-10 14:50:20.516810
Air conditioner,2020-12-27 00:00:00,29,2024-02-10 14:50:20.516811
Air conditioner,2021-01-03 00:00:00,30,2024-02-10 14:50:20.516811
Air conditioner,2021-01-10 00:00:00,27,2024-02-10 14:50:20.516812
Air conditioner,2021-01-17 00:00:00,22,2024-02-10 14:50:20.516812
Air conditioner,2021-01-24 00:00:00,27,2024-02-10 14:50:20.516813
Air conditioner,2021-01-31 00:00:00,33,2024-02-10 14:50:20.516814
Air conditioner,2021-02-07 00:00:00,28,2024-02-10 14:50:20.516814
Air conditioner,2021-02-14 00:00:00,26,2024-02-10 14:50:20.516815
